symbol,series,date,time,tno,p,vol,bno,sno
XXX,EQ,3-Apr-06,10:05:48,200604030056518.00,2970,50,200604030088673.00,200604030084537.00
XXX,EQ,3-Apr-06,10:05:50,200604030056661.00,2970,87,200604036777986.00,200604030084537.00
XXX,EQ,3-Apr-06,10:05:50,200604030056662.00,2970,1,200604036777986.00,200604030085311.00
XXX,EQ,3-Apr-06,10:05:54,200604030057225.00,2970,8,200604036777986.00,200604030089275.00
XXX,EQ,3-Apr-06,10:06:05,200604030058094.00,2970,4,200604036777986.00,200604033431636.00
XXX,EQ,3-Apr-06,10:06:05,200604030058095.00,2968.1,16,200604030083436.00,200604033431636.00
XXX,EQ,3-Apr-06,10:06:07,200604030058334.00,2970,10,200604030090630.00,200604030090694.00
XXX,EQ,3-Apr-06,10:06:08,200604030058340.00,2969.9,10,200604030090708.00,200604030090694.00
XXX,EQ,3-Apr-06,10:06:16,200604030059172.00,2968.1,20,200604030083436.00,200604030091670.00
XXX,EQ,3-Apr-06,10:06:57,200604030063845.00,2967,1,200604033435411.00,200604030096250.00
XXX,EQ,3-Apr-06,10:06:59,200604030063951.00,2966.1,9,200604030083436.00,200604036788197.00
XXX,EQ,3-Apr-06,10:07:02,200604030064157.00,2967,1,200604036788627.00,200604030096250.00
XXX,EQ,3-Apr-06,10:07:02,200604030064159.00,2971,5,200604033438875.00,200604030096564.00
XXX,EQ,3-Apr-06,10:07:44,200604030067284.00,2967.1,11,200604030083436.00,200604033443728.00
XXX,EQ,3-Apr-06,10:07:44,200604030067285.00,2967.1,1,200604030099181.00,200604033443728.00
XXX,EQ,3-Apr-06,10:07:44,200604030067286.00,2967.1,94,200604030083436.00,200604033443728.00
XXX,EQ,3-Apr-06,10:07:44,200604030067287.00,2967.05,4,200604036788627.00,200604033443728.00
XXX,EQ,3-Apr-06,10:07:56,200604030068702.00,2967,140,200604033445252.00,200604033443728.00
XXX,EQ,3-Apr-06,10:07:56,200604030068703.00,2967,1,200604033445252.00,200604030101238.00
XXX,EQ,3-Apr-06,10:07:56,200604030068704.00,2970,59,200604033445252.00,200604030101794.00
XXX,EQ,3-Apr-06,10:08:14,200604030071108.00,2967.2,8,200604036700478.00,200604036797946.00
XXX,EQ,3-Apr-06,10:08:17,200604030071426.00,2967.2,4,200604036700478.00,200604033447902.00
XXX,EQ,3-Apr-06,10:08:22,200604030071974.00,2967.2,50,200604036700478.00,200604033448536.00
XXX,EQ,3-Apr-06,10:08:24,200604030072171.00,2967.2,188,200604036700478.00,200604030105244.00
XXX,EQ,3-Apr-06,10:08:49,200604030074982.00,2965,1,200604033387757.00,200604030107950.00
XXX,EQ,3-Apr-06,10:08:49,200604030074983.00,2965,1,200604030055986.00,200604030107950.00
XXX,EQ,3-Apr-06,10:08:49,200604030074984.00,2965,1,200604030058432.00,200604030107950.00
XXX,EQ,3-Apr-06,10:08:49,200604030074985.00,2965,1,200604030068699.00,200604030107950.00
XXX,EQ,3-Apr-06,10:08:49,200604030074986.00,2965,1,200604030083416.00,200604030107950.00
XXX,EQ,3-Apr-06,10:08:55,200604030075555.00,2967,12,200604030108471.00,200604030105244.00
XXX,EQ,3-Apr-06,10:08:55,200604030075556.00,2967,40,200604030108471.00,200604033371879.00
XXX,EQ,3-Apr-06,10:08:55,200604030075557.00,2969.9,23,200604030108471.00,200604030106947.00
XXX,EQ,3-Apr-06,10:08:55,200604030075558.00,2969.95,25,200604030108471.00,200604030106089.00
XXX,EQ,3-Apr-06,10:08:56,200604030075653.00,2965,1,200604030102906.00,200604030108581.00
XXX,EQ,3-Apr-06,10:08:59,200604030075981.00,2965,1,200604030103538.00,200604030108877.00
XXX,EQ,3-Apr-06,10:09:05,200604030076883.00,2965,1,200604030103959.00,200604030109594.00
XXX,EQ,3-Apr-06,10:09:05,200604030076884.00,2965,1,200604030108667.00,200604030109594.00
